Job	T (K)	VibrationalG (kcal/mol)	RotationalG (kcal/mol)	TranslationalG (kcal/mol)	ThermalCorrection (kcal/mol)	TotalG (kcal/mol)
molecules/chloromethane	258.15	-4.31364682	-8.25246785	25.43172911	12.86561443	-3.13149838E+05
molecules/chloromethane	268.15	-4.51112337	-8.62277523	25.42872193	12.29482332	-3.13150409E+05
molecules/chloromethane	278.15	-4.70971180	-8.99493574	25.42528267	11.72063513	-3.13150983E+05
molecules/chloromethane	288.15	-4.90937211	-9.36888272	25.42138140	11.14312657	-3.13151560E+05
molecules/chloromethane	298.15	-5.11006709	-9.74455416	25.41698869	10.56236744	-3.13152141E+05
molecules/chloromethane	308.15	-5.31176203	-10.12189218	25.41207571	9.97842149	-3.13152725E+05
molecules/dichloromethane	258.15	-5.46616263	-8.65136792	19.66828733	5.55075679	-6.01099518E+05
molecules/dichloromethane	268.15	-5.70828437	-9.03712756	19.65089785	4.90548592	-6.01100163E+05
molecules/dichloromethane	278.15	-5.95151800	-9.42474032	19.63224390	4.25598557	-6.01100813E+05
molecules/dichloromethane	288.15	-6.19582351	-9.81413957	19.61230114	3.60233806	-6.01101466E+05
molecules/dichloromethane	298.15	-6.44116369	-10.20526326	19.59104683	2.94461988	-6.01102124E+05
molecules/dichloromethane	308.15	-6.68750383	-10.59805355	19.56845980	2.28290242	-6.01102786E+05
molecules/methane	258.15	-2.99552309	-7.37730007	30.08059071	19.70776755	-2.51939684E+04
molecules/methane	268.15	-3.14193926	-7.71370593	30.08041561	19.22477042	-2.51944514E+04
molecules/methane	278.15	-3.28946731	-8.05196491	30.08018437	18.73875215	-2.51949374E+04
molecules/methane	288.15	-3.43806724	-8.39201037	30.07988514	18.24980753	-2.51954263E+04
molecules/methane	298.15	-3.58770184	-8.73378029	30.07950495	17.75802282	-2.51959181E+04
molecules/methane	308.15	-3.73833640	-9.07721679	30.07902975	17.26347656	-2.51964127E+04
molecules/tetrachloromethane	258.15	-6.52750625	-9.10752404	5.54715082	-10.08787947	-1.17698312E+06
molecules/tetrachloromethane	268.15	-6.81074145	-9.51095388	5.47121573	-10.85047960	-1.17698388E+06
molecules/tetrachloromethane	278.15	-7.09508852	-9.91623684	5.39123326	-11.62009210	-1.17698465E+06
molecules/tetrachloromethane	288.15	-7.38050748	-10.32330628	5.30724588	-12.39656787	-1.17698543E+06
molecules/tetrachloromethane	298.15	-7.66696111	-10.73210017	5.21929785	-13.17976342	-1.17698621E+06
molecules/tetrachloromethane	308.15	-7.95441469	-11.14256065	5.12743483	-13.96954051	-1.17698700E+06
